,Unnamed: 0,SEXO,EDAD,CH07,CH15,NIVEL_ED,ESTADO,AM01,V1,V2,V3,IX_TOT,ESTRATO_HOGAR,IPCF
3459,3459,2,64,3,2,4,3,2,1,1,2,2,3,1350.0
3460,3460,1,77,2,1,2,3,1,1,1,2,5,3,1200.0
3461,3461,1,63,1,2,1,1,2,1,2,2,3,3,500.0
3463,3463,1,67,4,1,6,3,2,2,1,2,2,3,3500.0
3464,3464,2,61,4,2,2,1,1,1,2,2,2,3,725.0
3465,3465,2,70,2,2,1,1,1,2,1,2,2,2,2750.0
3466,3466,1,76,2,2,3,1,2,2,1,2,2,2,2750.0
3467,3467,1,64,1,1,1,3,2,1,1,2,10,3,680.0
3468,3468,2,73,4,3,4,3,2,2,1,2,1,1,2300.0
3469,3469,2,74,4,2,1,3,2,1,1,2,2,3,2650.0
3470,3470,2,66,2,1,4,3,1,2,1,2,2,2,3250.0
3471,3471,1,82,3,2,3,3,1,2,1,2,1,1,2780.0
3472,3472,1,65,2,1,4,3,1,2,1,2,2,2,3250.0
3473,3473,1,89,4,3,4,3,1,2,1,2,1,1,1750.0
3474,3474,2,72,2,1,2,3,2,1,1,2,4,3,2050.0
3475,3475,1,83,2,1,2,3,1,1,1,2,4,3,2050.0
3476,3476,1,66,1,1,4,3,1,2,1,2,3,3,500.0
3477,3477,2,65,2,3,3,3,2,2,1,2,2,2,2595.0
3479,3479,1,74,2,1,4,3,1,2,1,2,2,2,2595.0
3482,3482,2,79,4,1,1,3,1,1,1,2,2,3,3500.0
3483,3483,1,65,2,3,1,3,1,1,1,2,2,3,2650.0
3484,3484,1,61,1,2,1,3,1,1,1,2,10,3,524.5
